RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2026,11620,관악구,10200,신림동,1,대지,0659,0002,석영,20260902,40000,49.66,30.0,2.0,,,2022,연립다세대,직거래,
2026,11440,마포구,12700,상암동,1,대지,1734,0000,상암 한화 오벨리스크,20260902,9100,20.59,26.65,6.0,,,2013,오피스텔,중개거래,서울 마포구
2026,11680,강남구,10100,역삼동,1,대지,0837,0026,삼일프라자오피스텔,20260902,40000,57.8,77.9,12.0,,,1992,오피스텔,중개거래,서울 강남구
2026,11680,강남구,10100,역삼동,1,대지,0837,0026,삼일프라자오피스텔,20260902,50000,74.86,100.9,12.0,,,1992,오피스텔,중개거래,서울 강남구
2026,11230,동대문구,10600,장안동,1,대지,0333,0005,삼현팰리체,20260902,65000,68.04,0.0,8.0,,,2011,아파트,중개거래,서울 동대문구
2026,11545,금천구,10300,시흥동,1,대지,0169,0022,하이코힐하우스B동,20260902,25400,52.33,24.0,2.0,,,2003,연립다세대,중개거래,"서울 금천구, 인천 계양구"
2026,11740,강동구,10700,암사동,1,대지,0447,0003,한강하이츠(447-3),20260902,16000,32.8,13.0,1.0,,,1995,연립다세대,직거래,
2026,11440,마포구,12500,성산동,1,대지,0592,0005,상암 우남퍼스트빌스타,20260902,13000,16.863,26.7188,5.0,,,2017,오피스텔,중개거래,서울 마포구
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,65658,50.25,0.0,14.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,65658,50.25,0.0,15.0,,,2026,아파트,직거래,
